#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2E135
#Date Time: 2023-11-01 14:39:35.674
#Sample rate: 1600Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 1.83125 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: DC
#Offset: 5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.9965625,4.729276230399835,1.882753390879806
-0.9959374999999999,4.729276230399835,1.890117346199888
-0.9953125,4.729276230399835,1.901163279180013
-0.9946874999999999,4.729276230399835,1.908527234500096
-0.9940625000000001,4.729276230399835,1.91957316748022
-0.9934375,4.729276230399835,1.930619100460344
-0.9928124999999999,4.729276230399835,1.937983055780427
-0.9921875,4.729276230399835,1.949028988760551
-0.9915624999999999,4.729276230399835,1.956392944080634
-0.9909375,4.729276230399835,1.967438877060758
-0.9903124999999999,4.729276230399835,1.978484810040883
-0.9896875000000001,4.729276230399835,1.985848765360966
-0.9890625,4.729276230399835,1.99689469834109
-0.9884375000000001,4.725609377896697,2.004258653661173
-0.9878125,4.725609377896697,2.015304586641297
-0.9871874999999999,4.725609377896697,2.022668541961381
-0.9865625,4.729276230399835,2.033714474941505
-0.9859374999999999,4.729276230399835,2.044760407921629
-0.9853125,4.729276230399835,2.052124363241712
-0.9846874999999999,4.729276230399835,2.063170296221836
-0.9840625000000001,4.729276230399835,2.07421622920196
-0.9834375,4.729276230399835,2.081580184522044
-0.9828124999999999,4.729276230399835,2.092626117502168
-0.9821875,4.729276230399835,2.09999007282225
-0.9815624999999999,4.729276230399835,2.111036005802375
-0.9809375,4.729276230399835,2.122081938782499
